trade_id,date_detected,stock,signal_type,age,regime,regime_score,vol_q,rs_q,sec_mom,bear_bonus,conviction_score,action,entry_estimate,entry_actual,stop_price,target_price,exit_rule,exit_date_plan,exit_date_actual,exit_price,exit_type,position_size,risk_amount,pnl_pct,pnl_rs,status,direction,notes
"20260330_TVSMOTOR.NS.replace('.NS','')_UP",2026-03-30,TVSMOTOR.NS,UP_TRI,0,Bear,-3,High,Neutral,Lagging,True,7,DEPLOY,3364.0,,3141.58,3808.84,Target2x,08 Apr,,,,22,4893.0,,,PENDING,LONG,
"20260330_TORNTPHARM.NS.replace('.NS','')_DO",2026-03-30,TORNTPHARM.NS,DOWN_TRI,0,Bear,-3,Average,Neutral,Lagging,False,6,DEPLOY,4207.7,,4579.44,,Day6,08 Apr,,,,13,4833.0,,,PENDING,SHORT,
"20260330_COALINDIA.NS.replace('.NS','')_DO",2026-03-30,COALINDIA.NS,DOWN_TRI,0,Bear,-3,High,Neutral,Lagging,False,6,DEPLOY,451.25,,490.17,,Day6,08 Apr,,,,128,4982.0,,,PENDING,SHORT,
"20260330_NATIONALUM.NS.replace('.NS','')_DO",2026-03-30,NATIONALUM.NS,DOWN_TRI,0,Bear,-3,High,Neutral,Lagging,False,6,DEPLOY,386.65,,430.34,,Day6,08 Apr,,,,114,4981.0,,,PENDING,SHORT,
"20260330_POWERGRID.NS.replace('.NS','')_DO",2026-03-30,POWERGRID.NS,DOWN_TRI,0,Bear,-3,High,Neutral,Lagging,False,6,DEPLOY,295.45,,317.63,,Day6,08 Apr,,,,225,4991.0,,,PENDING,SHORT,
"20260330_NTPC.NS.replace('.NS','')_DO",2026-03-30,NTPC.NS,DOWN_TRI,0,Bear,-3,High,Neutral,Lagging,False,6,DEPLOY,374.85,,405.11,,Day6,08 Apr,,,,165,4993.0,,,PENDING,SHORT,
"20260330_CESC.NS.replace('.NS','')_DO",2026-03-30,CESC.NS,DOWN_TRI,0,Bear,-3,High,Neutral,Lagging,False,6,DEPLOY,149.8,,171.85,,Day6,08 Apr,,,,226,4983.0,,,PENDING,SHORT,
"20260330_DMART.NS.replace('.NS','')_DO",2026-03-30,DMART.NS,DOWN_TRI,0,Bear,-3,High,Neutral,Lagging,False,6,DEPLOY,3898.8,,4172.7,,Day6,08 Apr,,,,18,4930.0,,,PENDING,SHORT,
"20260330_ABB.NS.replace('.NS','')_DO",2026-03-30,ABB.NS,DOWN_TRI,0,Bear,-3,High,Neutral,Neutral,False,6,DEPLOY,5982.0,,6763.38,,Day6,08 Apr,,,,6,4688.0,,,PENDING,SHORT,
